Driver,Corner,SpeedClass,Avg_Entry_Speed,Avg_Exit_Speed,Max_Accel_Into,Max_Accel_Out,Max_Decel_Into,Avg_Throttle_Into,Avg_Throttle_Out,Speed_Consistency,Corner_Entry_Count,Corner_Exit_Count,Total_Corner_Samples,EventName,EventDate,Circuit
HUL,corner_0,Slow,200.925,125.0,2.7777741514219088,22.222449887496932,-105.23274532742039,1.0982033523232737,23.790185330432273,41.571635711109714,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
HUL,corner_7,Medium,214.56666666666666,240.79545018181818,12.153026936027143,4.340277777777828,-6.944459982586579,63.088395284746646,72.59707757976635,1.9617560535005845,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
HUL,corner_25,Fast,324.5055559111111,308.0,3.4722567759049667,3.4722085079367844,-3.4722249837865036,100.0,100.0,0.8519192429016306,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
HAM,corner_0,Slow,166.0,127.0,2.3148155493785794,18.52205919727937,-60.76397611283442,0.561786504509667,27.739873190361216,35.175082495480325,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
HAM,corner_7,Medium,227.703124,228.6,8.681104078752185,9.722206217896769,-8.680543094992572,60.666331201138554,70.17749074300842,0.438826381991439,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
HAM,corner_25,Fast,326.0,321.0,2.3148157516528727,1.984126984127471,-1.7361102042689254,100.0,100.0,0.027755292492316747,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
ALB,corner_0,Slow,211.0,114.56,1.7361111111108585,16.666666666666607,-90.27787817569697,0.1739024256201336,20.187865055611198,35.69934700030867,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
ALB,corner_7,Medium,208.25454545454545,238.28690769661915,8.680565209201745,8.928510045100431,-10.416697026254958,54.262401003951034,53.314505739332944,0.6287896377452143,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
ALB,corner_25,Fast,325.0,317.0,3.4722245407851915,1.7361133968246634,-2.3148148148146674,99.70921630982828,99.57724314629831,0.2702970616390875,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
MAG,corner_0,Slow,200.15987397419457,124.0,1.7361756272405495,17.361204664091925,-88.88897178052304,0.8318494962007783,25.30496151612953,32.593366890966365,1,1,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah
